Question,Response,Category
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hello! How can I support you today?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for greeting?,Hi there! What's on your mind?,greeting
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,Goodbye! Stay strong.,goodbye
What do you suggest for goodbye?,"Take care! Remember, you're not alone.",goodbye
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Listening to music can help with stress relief.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for stress help?,Try deep breathing exercises to manage stress.,stress_help
What do you suggest for anxiety help?,Mindfulness can help reduce anxiety.,anxiety_help
What do you suggest for anxiety help?,Grounding techniques can calm anxious thoughts.,anxiety_help
What do you suggest for anxiety help?,Mindfulness can help reduce anxiety.,anxiety_help
What do you suggest for anxiety help?,Mindfulness can help reduce anxiety.,anxiety_help
What do you suggest for anxiety help?,Mindfulness can help reduce anxiety.,anxiety_help
What do you suggest for anxiety help?,Mindfulness can help reduce anxiety.,anxiety_help
